%time,field.data
1544089964895668769,0
1544089964996502805,0
1544089965095902060,0
1544089965195099550,0
1544089965295298066,0
1544089965395543025,0
1544089965495879251,0
1544089965594965141,0
1544089965695218858,0
1544089965795440755,0
1544089965895694703,0
1544089965995911669,0
1544089966095131661,0
1544089966195330983,0
1544089966295690476,0
1544089966395796745,0
1544089966494939393,0
1544089966595877730,0
1544089966695611535,0
1544089966795798783,0
1544089966894963692,0
1544089966995226027,0
1544089967095343492,0
1544089967195539935,0
1544089967295759349,0
1544089967396064709,0
1544089967495316900,0
1544089967596081425,0
1544089967695360766,0
1544089967795800640,0
1544089967896005722,0
1544089967995337189,0
1544089968095555200,0
1544089968195732981,0
1544089968296004757,0
1544089968395137112,0
1544089968495538995,0
1544089968595645854,0
1544089968695884105,0
1544089968795062023,0
1544089968895333600,0
1544089968995754863,280
1544089969095970582,400
1544089969195514803,440
1544089969295695481,400
1544089969395754169,400
1544089969495979059,400
1544089969596249484,360
1544089969696275607,360
1544089969795487773,400
1544089969895711741,360
1544089969995879432,360
1544089970095058135,400
1544089970195237857,360
1544089970295438238,400
1544089970395648164,360
1544089970496763434,360
1544089970595616885,400
1544089970695837636,360
1544089970795639497,400
1544089970895940242,360
1544089970995168327,400
1544089971095353106,360
1544089971195526087,400
1544089971295701717,400
1544089971395905074,360
1544089971495131416,400
1544089971595342253,360
1544089971695556508,400
1544089971795760552,360
1544089971895976512,400
1544089971995171689,400
1544089972095405338,400
1544089972194929622,360
1544089972295137848,400
1544089972395320780,400
1544089972495556249,400
1544089972595779585,360
1544089972695984254,400
1544089972795169413,400
1544089972895412721,360
1544089972995722858,400
1544089973095945513,360
1544089973195141116,400
1544089973295611669,360
1544089973395862362,400
1544089973494968474,360
1544089973595151250,400
1544089973695406957,360
1544089973795607223,400
1544089973895770532,400
1544089973995949465,360
1544089974095150678,400
1544089974195432009,400
1544089974295827484,360
1544089974395130719,400
1544089974495645920,400
1544089974595760925,400
1544089974696068629,400
1544089974795454858,360
1544089974895436562,400
1544089974995651084,360
1544089975095851905,400
1544089975195116759,400
1544089975295354972,360
1544089975395542891,400
1544089975495801413,400
1544089975595942240,360
1544089975695266679,400
1544089975795383988,360
1544089975895615732,400
1544089975995824181,360
1544089976094950254,400
1544089976195145242,360
1544089976295486358,400
1544089976395649854,360
1544089976495882010,360
1544089976595231623,400
1544089976695343811,360
1544089976795598523,400
1544089976895786162,360
1544089976994958938,400
1544089977095203878,360
1544089977195329414,400
1544089977295616793,360
1544089977395892437,400
1544089977495207896,400
1544089977597487654,360
1544089977695698508,400
1544089977795886209,360
1544089977895065365,400
1544089977995686205,360
1544089978095904855,400
1544089978196041625,360
1544089978295278981,400
1544089978395510134,400
1544089978495719384,360
1544089978595899270,400
1544089978695185945,400
1544089978795361069,360
1544089978895740627,400
1544089978996016025,360
1544089979095207053,360
1544089979195330110,400
1544089979295514567,360
1544089979395755640,360
1544089979496059379,400
1544089979595317833,360
1544089979695507836,400
1544089979795924468,360
1544089979895139117,400
1544089979995409066,360
1544089980095680166,400
1544089980195882656,400
1544089980295153508,360
1544089980395380026,400
1544089980495590333,360
1544089980595802823,400
1544089980694935314,360
1544089980795206064,400
1544089980895312477,400
1544089980995473664,360
1544089981095776116,400
1544089981196022855,400
1544089981295258137,360
1544089981395506734,400
1544089981495614908,400
1544089981595816634,400
1544089981695024768,360
1544089981795333439,400
1544089981895532455,400
1544089981995774181,360
1544089982094972898,400
1544089982195227327,360
1544089982295465073,400
1544089982395624380,400
1544089982495890586,360
1544089982594960339,400
1544089982695165130,360
1544089982795440367,400
1544089982895744176,400
1544089982995829361,360
1544089983095021746,400
1544089983195400477,400
1544089983295526669,400
1544089983397415976,360
1544089983495780414,400
1544089983595938857,400
1544089983695139762,400
1544089983795324782,360
1544089983895544634,400
1544089983995732759,360
1544089984095908825,400
1544089984195160586,360
1544089984295333581,400
1544089984395589490,360
1544089984495798176,400
1544089984594939021,400
1544089984695130155,360
1544089984795316057,360
1544089984895610221,400
1544089984995820823,360
1544089985094933337,400
1544089985195127742,360
1544089985295313984,400
1544089985395726779,360
1544089985495967651,360
1544089985595159458,400
1544089985695329948,360
1544089985795593617,400
1544089985895716918,360
1544089985995907183,360
1544089986095109720,400
1544089986195344469,400
1544089986295655341,360
1544089986395882595,400
1544089986495073471,360
1544089986595342965,400
1544089986695559101,400
1544089986795660727,360
1544089986895878847,400
1544089986995121657,360
1544089987095260571,400
1544089987195484527,400
1544089987295707221,360
1544089987395905551,400
1544089987495072486,360
1544089987595257178,400
1544089987695507971,360
1544089987795748890,360
1544089987896026419,320
1544089987995157427,200
1544089988095380670,160
1544089988196983310,40
1544089988295312593,40
1544089988395469661,0
1544089988495012483,0
1544089988595948639,0
1544089988695219570,0
1544089988795471177,0
1544089988895708243,0
1544089988996012372,0
1544089989095196489,0
1544089989195437234,0
1544089989295675227,0
1544089989396021775,0
1544089989495441742,0
1544089989595690375,0
1544089989696902593,0
1544089989795855249,0
1544089989895092362,0
1544089989995304402,0
1544089990095697698,0
1544089990195804384,0
1544089990295046338,0
1544089990395201041,0
1544089990495451412,0
1544089990595716273,0
1544089990695923300,0
1544089990795121826,0
1544089990895325250,0
1544089990995535646,0
